(61/81) IF=0.75, IA=0.50, HL=15, FD=2: avg=446.79, sd=104.63, hits=152, max=500
(62/81) IF=0.75, IA=0.50, HL=15, FD=3: avg=376.36, sd=193.25, hits=164, max=500
(63/81) IF=0.75, IA=0.50, HL=15, FD=4: avg=500.00, sd=  0.00, hits=0, max=500
(64/81) IF=0.75, IA=0.60, HL=5, FD=2: avg=257.76, sd= 35.17, hits=500, max=341
(65/81) IF=0.75, IA=0.60, HL=5, FD=3: avg=353.17, sd= 95.83, hits=418, max=500
(66/81) IF=0.75, IA=0.60, HL=5, FD=4: avg=475.78, sd= 69.93, hits=71, max=500
(67/81) IF=0.75, IA=0.60, HL=10, FD=2: avg=313.87, sd=101.00, hits=500, max=473
(68/81) IF=0.75, IA=0.60, HL=10, FD=3: avg=331.25, sd=111.87, hits=416, max=500
(69/81) IF=0.75, IA=0.60, HL=10, FD=4: avg=462.31, sd= 74.51, hits=127, max=500
(70/81) IF=0.75, IA=0.60, HL=15, FD=2: avg=445.13, sd=106.17, hits=167, max=500
(71/81) IF=0.75, IA=0.60, HL=15, FD=3: avg=320.65, sd=215.47, hits=223, max=500
(72/81) IF=0.75, IA=0.60, HL=15, FD=4: avg=500.00, sd=  0.00, hits=0, max=500
(73/81) IF=0.75, IA=0.70, HL=5, FD=2: avg=225.85, sd= 27.65, hits=500, max=314
(74/81) IF=0.75, IA=0.70, HL=5, FD=3: avg=351.06, sd=109.69, hits=388, max=500
(75/81) IF=0.75, IA=0.70, HL=5, FD=4: avg=483.33, sd= 59.02, hits=55, max=500
(76/81) IF=0.75, IA=0.70, HL=10, FD=2: avg=272.46, sd= 81.15, hits=500, max=429
(77/81) IF=0.75, IA=0.70, HL=10, FD=3: avg=268.99, sd=103.68, hits=463, max=500
(78/81) IF=0.75, IA=0.70, HL=10, FD=4: avg=443.22, sd= 93.25, hits=159, max=500
(79/81) IF=0.75, IA=0.70, HL=15, FD=2: avg=409.83, sd=104.45, hits=456, max=500
(80/81) IF=0.75, IA=0.70, HL=15, FD=3: avg=257.14, sd=223.57, hits=290, max=500
(81/81) IF=0.75, IA=0.70, HL=15, FD=4: avg=500.00, sd=  0.00, hits=0, max=500
